Kulbicki,MEOW,ID,NA_,Lon,Lat,Management,RetentC,RetentP,RetentR,RetentT,RetentC5,RetentP5,RetentR15,RetentT15,OutflowC5,OutflowP5,OutflowR15,OutflowT15,InflowC5,InflowP5,InflowR15,InflowT15,OutDegC5,OutDegP5,OutDegR15,OutDegT15,InDegC5,InDegP5,InDegR15,InDegT15,OutflowC,OutflowP,OutflowR,OutflowT,InflowC,InflowP,InflowR,InflowT,OutDegC,OutDegP,OutDegR,OutDegT,InDegC,InDegP,InDegR,InDegT,NetflowC5,NetflowR15,NetflowP5,NetflowT15,NetflowC,NetflowR,NetflowP,NetflowT,source_cell_id,cell_id,netflow,sovereign_state,protected,in_mpa,in_oecm,protection_class,n_cells,q25_netflow,q75_netflow,is_country_sink,is_country_source,is_wio_sink,is_wio_source
Western Indian,Red Sea and Gulf of Aden,5233,V5233,43.56,11.5,Fished,0,0,0,0,65,66,5,15,1645,1050,517,579,288,154,60,39,37,19,45,18,17,3,26,2,255,552,380,165,15,26,15,0,26,20,20,8,2,1,1,0,0.702017589,0.79202773,0.744186047,0.873786408,0.888888889,0.924050633,0.910034602,1,5233,CELL005233,0.702017589,Somalia,FALSE,FALSE,FALSE,Unprotected,22,-0.24193630225,0.24891961025,FALSE,TRUE,FALSE,TRUE
Western Indian,Red Sea and Gulf of Aden,5238,V5238,43.64,11.42,Fished,0,0,0,0,12,0,0,0,875,358,688,585,135,20,0,0,73,37,94,44,5,1,0,0,745,1238,945,525,0,0,0,0,64,43,43,17,0,0,0,0,0.732673267,1,0.894179894,1,1,1,1,1,5238,CELL005238,0.732673267,Somalia,FALSE,FALSE,FALSE,Unprotected,22,-0.24193630225,0.24891961025,FALSE,TRUE,FALSE,TRUE
Western Indian,Red Sea and Gulf of Aden,5239,V5239,43.56,11.42,Fished,0,0,0,0,3,0,0,0,571,278,541,534,248,26,23,0,67,18,72,36,14,3,8,0,610,1174,885,480,0,0,0,0,54,41,41,14,0,0,0,0,0.394383394,0.918439716,0.828947368,1,1,1,1,1,5239,CELL005239,0.394383394,Somalia,FALSE,FALSE,FALSE,Unprotected,22,-0.24193630225,0.24891961025,FALSE,TRUE,FALSE,TRUE
Western Indian,Red Sea and Gulf of Aden,5240,V5240,43.72,11.02,Fished,0,0,0,0,23,0,0,0,746,256,528,381,415,28,79,21,41,17,43,16,25,6,19,3,335,694,435,135,20,0,0,15,28,26,26,4,2,0,0,1,0.285099053,0.73970346,0.802816901,0.895522388,0.887323944,1,1,0.8,5240,CELL005240,0.285099053,Somalia,FALSE,FALSE,FALSE,Unprotected,22,-0.24193630225,0.24891961025,FALSE,TRUE,FALSE,FALSE
Western Indian,Red Sea and Gulf of Aden,5241,V5241,43.72,11.1,Fished,0,0,0,0,2,0,1,0,695,290,475,561,1090,362,411,0,55,27,73,37,41,6,99,0,495,1276,890,525,25,2146,1915,0,43,46,46,20,5,69,69,0,-0.221288515,0.072234763,-0.110429448,1,0.903846154,-0.365418895,-0.254237288,1,5241,CELL005241,-0.221288515,Somalia,FALSE,FALSE,FALSE,Unprotected,22,-0.24193630225,0.24891961025,FALSE,FALSE,TRUE,FALSE
Western Indian,Red Sea and Gulf of Aden,5242,V5242,43.64,11.1,Fished,0,0,0,0,152,0,0,0,849,198,434,441,465,80,52,3,56,19,62,29,17,5,15,1,370,1078,795,510,40,26,15,0,28,38,38,21,5,1,1,0,0.292237443,0.78600823,0.424460432,0.986486486,0.804878049,0.962962963,0.952898551,1,5242,CELL005242,0.292237443,Somalia,FALSE,FALSE,FALSE,Unprotected,22,-0.24193630225,0.24891961025,FALSE,TRUE,FALSE,FALSE
Western Indian,Red Sea and Gulf of Aden,5243,V5243,43.64,11.18,Fished,0,0,0,0,110,50,0,0,1382,574,514,468,139,52,8,0,52,29,71,27,6,2,2,0,640,1100,850,540,0,0,0,0,48,38,38,19,0,0,0,0,0.81722551,0.969348659,0.833865815,1,1,1,1,1,5243,CELL005243,0.81722551,Somalia,FALSE,FALSE,FALSE,Unprotected,22,-0.24193630225,0.24891961025,FALSE,TRUE,FALSE,TRUE
Western Indian,Somali/Arabian,5980,V5980,45.88,2.3,Fished,15,0,0,0,374,0,65,0,1088,198,357,6,861,18,346,171,14,6,16,2,11,1,13,3,200,286,215,0,185,214,185,15,12,10,10,0,9,7,7,1,0.116469985,0.015647226,0.833333333,-0.93220339,0.038961039,0.075,0.144,-1,5980,CELL005980,0.116469985,Somalia,FALSE,FALSE,FALSE,Unprotected,22,-0.24193630225,0.24891961025,FALSE,FALSE,FALSE,FALSE
Western Indian,Somali/Arabian,5981,V5981,46.04,2.38,Fished,5,0,0,0,130,14,4,0,658,150,142,0,496,138,192,30,5,5,6,0,8,2,8,1,25,74,85,0,20,110,75,0,3,2,2,0,3,4,4,0,0.140381282,-0.149700599,0.041666667,-1,0.111111111,0.0625,-0.195652174,NA,5981,CELL005981,0.140381282,Somalia,FALSE,FALSE,FALSE,Unprotected,22,-0.24193630225,0.24891961025,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14048,V14048,54.52,-15.86,Fished,65,60,100,75,1002,624,300,312,1002,626,302,318,1164,796,468,588,1,2,2,3,19,9,29,21,85,114,135,75,380,502,405,300,2,3,3,1,27,17,17,12,-0.074792244,-0.215584416,-0.11954993,-0.298013245,-0.634408602,-0.5,-0.62987013,-0.6,14048,CELL014048,-0.074792244,France,FALSE,FALSE,FALSE,Unprotected,54,-0.31484398975,0.4384915245,FALSE,FALSE,FALSE,FALSE
