sovereign_state,indicator,n_selected_cells,n_protected_cells,n_mpa_cells,n_oecm_cells,n_mpa_oecm_overlap_cells,percent_protected_total,percent_in_mpa,percent_in_oecm,percent_in_mpa_oecm_overlap
Comoro Islands,Top larval sinks,5,1,1,0,0,20,20,0,0
Comoro Islands,Top larval sources,5,1,1,0,0,20,20,0,0
France,Top larval sinks,14,3,3,0,0,21.428571428571427,21.428571428571427,0,0
France,Top larval sources,14,7,7,0,0,50,50,0,0
Kenya,Top larval sinks,7,2,2,0,0,28.571428571428573,28.571428571428573,0,0
Kenya,Top larval sources,7,2,2,0,0,28.571428571428573,28.571428571428573,0,0
Madagascar,Top larval sinks,50,14,14,0,0,28,28,0,0
Madagascar,Top larval sources,50,17,16,2,1,34,32,4,2
Mauritius,Top larval sinks,9,0,0,0,0,0,0,0,0
Mauritius,Top larval sources,9,0,0,0,0,0,0,0,0
Mozambique,Top larval sinks,28,8,8,0,0,28.571428571428573,28.571428571428573,0,0
Mozambique,Top larval sources,28,2,2,0,0,7.142857142857143,7.142857142857143,0,0
Seychelles,Top larval sinks,25,2,2,0,0,8,8,0,0
Seychelles,Top larval sources,25,3,3,0,0,12,12,0,0
Somalia,Top larval sinks,6,0,0,0,0,0,0,0,0
Somalia,Top larval sources,6,0,0,0,0,0,0,0,0
South Africa,Top larval sinks,0,0,0,0,0,NA,NA,NA,NA
South Africa,Top larval sources,0,0,0,0,0,NA,NA,NA,NA
Tanzania,Top larval sinks,34,18,12,7,1,52.94117647058823,35.294117647058826,20.58823529411765,2.9411764705882355
Tanzania,Top larval sources,34,20,16,5,1,58.8235294117647,47.05882352941177,14.705882352941176,2.9411764705882355
WIO,Top larval sinks,176,46,39,8,1,26.136363636363637,22.15909090909091,4.545454545454546,0.5681818181818182
WIO,Top larval sources,176,54,48,8,2,30.681818181818183,27.272727272727273,4.545454545454546,1.1363636363636365
