sovereign_state,eez_area_km2,protected_area_km2,mpa_area_km2,oecm_area_km2,percent_protected_total,percent_protected_mpa,percent_protected_oecm
Comoro Islands,164653.96314140054,421.00563769029543,421.00563769029543,0,0.2556911656774072,0.2556911656774072,0
Disputed,51300.791163523514,0,0,0,0,0,0
France,1000794.8274630557,2095.8184329440915,2095.8184329440915,0,0.20941539418792196,0.20941539418792196,0
Kenya,111678.9158801631,691.7446864527609,636.4402389082379,56.18573900249779,0.6194049082595291,0.5698839694962379,0.050310068431169065
Madagascar,1199947.515748097,7592.996470000233,6751.031842743298,974.6653947373776,0.6327773815395954,0.5626105937253785,0.08122566878516606
Mauritius,1272770.4275330903,131.98895791750903,131.98895791750903,0,0.01037020935294142,0.01037020935294142,0
Mozambique,571514.8887434019,9203.672997556547,9203.672997556547,0,1.610399515188974,1.610399515188974,0
Seychelles,1331965.2695336612,347714.76454083406,347714.76454083406,0,26.105392722632597,26.105392722632597,0
Somalia,779443.0223366382,0,0,0,0,0,0
South Africa,1066572.2965040684,57360.70085678485,57360.70085678485,0,5.378041511559742,5.378041511559742,0
Tanzania,241551.6188809028,6408.197209939415,3369.4149136104625,3084.705848745645,2.652930764707059,1.3949047119703863,1.277037952813954
WIO,7792193.536928002,431620.8897901198,427684.8384189893,4115.556982485521,5.539144885770923,5.488632134098661,0.052816411232363206
