sovereign_state,indicator,data_type,measure_type,filter_mode,filter_expr_applied,eez_area_km2,indicator_area_km2,indicator_point_count,protected_indicator_area_km2,protected_indicator_point_count,mpa_indicator_area_km2,oecm_indicator_area_km2,mpa_indicator_point_count,oecm_indicator_point_count,mpa_only_indicator_area_km2,oecm_only_indicator_area_km2,overlap_indicator_area_km2,mpa_only_indicator_point_count,oecm_only_indicator_point_count,overlap_indicator_point_count,indicator_total_in_all_eezs_km2,indicator_total_points_in_all_eezs,percent_eez_covered_by_indicator,percent_of_indicator_in_all_eezs,percent_indicator_protected_total,percent_indicator_protected_mpa,percent_indicator_protected_oecm,percent_indicator_protected_mpa_only,percent_indicator_protected_oecm_only,percent_indicator_protected_overlap
Comoro Islands,EBSAs,vector,area,none,NA,164653.96314140054,164653.96314140066,NA,421.0056376903534,NA,421.0056376903534,0,NA,NA,421.0056376903534,0,0,NA,NA,NA,3822450.6771286717,NA,100.00000000000007,4.307549712193659,0.25569116567744227,0.25569116567744227,0,0.25569116567744227,0,0
France,EBSAs,vector,area,none,NA,1000794.8274630557,416028.81913892564,NA,2061.998848141779,NA,2061.998848141779,0,NA,NA,2061.998848141779,0,0,NA,NA,NA,3822450.6771286717,NA,41.56984106258116,4.307549712193659,0.49563846379911725,0.49563846379911725,0,0.49563846379911725,0,0
Kenya,EBSAs,vector,area,none,NA,111678.9158801631,111678.91588016423,NA,691.744686452815,NA,636.4402389083042,56.1857390025019,NA,NA,635.5589474503131,55.304447544510786,0.8812914579911078,NA,NA,NA,3822450.6771286717,NA,100.00000000000102,4.307549712193659,0.6194049082595713,0.5698839694962915,0.050310068431172236,0.569094839828399,0.04952093876327971,7.891296678925209e-4
Madagascar,EBSAs,vector,area,none,NA,1199947.515748097,631162.3588537028,NA,7409.1829771296025,NA,6634.117409993405,907.0585182071475,NA,NA,6502.124458922455,775.0655671361973,131.99295107095017,NA,NA,NA,3822450.6771286717,NA,52.59916376094249,4.307549712193659,1.1738949373638072,1.051095224062804,0.14371239119115384,1.0301825461726535,0.1227997133010034,0.020912677890150423
Mauritius,EBSAs,vector,area,none,NA,1272770.4275330903,10262.520664648258,NA,3.0988380510038422,NA,3.0988380510038422,0,NA,NA,3.0988380510038422,0,0,NA,NA,NA,3822450.6771286717,NA,0.8063135694108863,4.307549712193659,0.03019568147305702,0.03019568147305702,0,0.03019568147305702,0,0
Mozambique,EBSAs,vector,area,none,NA,571514.8887434019,571381.7567409625,NA,9172.884919367656,NA,9172.884919367656,0,NA,NA,9172.884919367656,0,0,NA,NA,NA,3822450.6771286717,NA,99.97670541834316,4.307549712193659,1.6053863832978847,1.6053863832978847,0,1.6053863832978847,0,0
Seychelles,EBSAs,vector,area,none,NA,1331965.2695336612,1225081.1860186746,NA,347714.7645408339,NA,347714.7645408339,0,NA,NA,347714.7645408339,0,0,NA,NA,NA,3822450.6771286717,NA,91.97546017454283,4.307549712193659,28.382997674697247,28.382997674697247,0,28.382997674697247,0,0
Somalia,EBSAs,vector,area,none,NA,779443.0223366382,101051.7349144273,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA,NA,3822450.6771286717,NA,12.964608318834046,4.307549712193659,0,0,0,0,0,0
South Africa,EBSAs,vector,area,none,NA,1066572.2965040684,358059.2517156735,NA,42097.2020982366,NA,42097.2020982366,0,NA,NA,42097.2020982366,0,0,NA,NA,NA,3822450.6771286717,NA,33.57102494498437,4.307549712193659,11.757049118693073,11.757049118693073,0,11.757049118693073,0,0
Tanzania,EBSAs,vector,area,none,NA,241551.6188809028,233090.17006009223,NA,6405.553336881855,NA,3366.8000806483074,3084.6768086502334,NA,NA,3320.8765282316213,3038.7532562335473,45.92355241668592,NA,NA,NA,3822450.6771286717,NA,96.4970432158509,4.307549712193659,2.748101018258496,1.4444195908305886,1.3233834819610724,1.4247175362974236,1.3036814274279074,0.01970205453316479
