sovereign_state,indicator,data_type,measure_type,filter_mode,filter_expr_applied,eez_area_km2,indicator_area_km2,indicator_point_count,protected_indicator_area_km2,protected_indicator_point_count,mpa_indicator_area_km2,oecm_indicator_area_km2,mpa_indicator_point_count,oecm_indicator_point_count,mpa_only_indicator_area_km2,oecm_only_indicator_area_km2,overlap_indicator_area_km2,mpa_only_indicator_point_count,oecm_only_indicator_point_count,overlap_indicator_point_count,indicator_total_in_all_eezs_km2,indicator_total_points_in_all_eezs,percent_eez_covered_by_indicator,percent_of_indicator_in_all_eezs,percent_indicator_protected_total,percent_indicator_protected_mpa,percent_indicator_protected_oecm,percent_indicator_protected_mpa_only,percent_indicator_protected_oecm_only,percent_indicator_protected_overlap
Comoro Islands,Fish Larval Dispersal Corridors,vector,points,larval_country_q75,NA,164653.96314140054,NA,5,NA,1,NA,NA,1,0,NA,NA,NA,1,0,0,NA,177,NA,2.824858757062147,20,20,0,20,0,0
France,Fish Larval Dispersal Corridors,vector,points,larval_country_q75,NA,1000794.8274630557,NA,14,NA,4,NA,NA,4,0,NA,NA,NA,4,0,0,NA,177,NA,2.824858757062147,28.57142857142857,28.57142857142857,0,28.57142857142857,0,0
Kenya,Fish Larval Dispersal Corridors,vector,points,larval_country_q75,NA,111678.9158801631,NA,7,NA,3,NA,NA,3,1,NA,NA,NA,2,0,1,NA,177,NA,2.824858757062147,42.857142857142854,42.857142857142854,14.285714285714285,28.57142857142857,0,14.285714285714285
Madagascar,Fish Larval Dispersal Corridors,vector,points,larval_country_q75,NA,1199947.515748097,NA,49,NA,11,NA,NA,11,0,NA,NA,NA,11,0,0,NA,177,NA,2.824858757062147,22.448979591836736,22.448979591836736,0,22.448979591836736,0,0
Mauritius,Fish Larval Dispersal Corridors,vector,points,larval_country_q75,NA,1272770.4275330903,NA,9,NA,0,NA,NA,0,0,NA,NA,NA,0,0,0,NA,177,NA,2.824858757062147,0,0,0,0,0,0
Mozambique,Fish Larval Dispersal Corridors,vector,points,larval_country_q75,NA,571514.8887434019,NA,28,NA,5,NA,NA,5,0,NA,NA,NA,5,0,0,NA,177,NA,2.824858757062147,17.857142857142858,17.857142857142858,0,17.857142857142858,0,0
Seychelles,Fish Larval Dispersal Corridors,vector,points,larval_country_q75,NA,1331965.2695336612,NA,25,NA,2,NA,NA,2,0,NA,NA,NA,2,0,0,NA,177,NA,2.824858757062147,8,8,0,8,0,0
Somalia,Fish Larval Dispersal Corridors,vector,points,larval_country_q75,NA,779443.0223366382,NA,6,NA,0,NA,NA,0,0,NA,NA,NA,0,0,0,NA,177,NA,2.824858757062147,0,0,0,0,0,0
South Africa,Fish Larval Dispersal Corridors,vector,points,larval_country_q75,NA,1066572.2965040684,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,0,0,0,NA,177,NA,2.824858757062147,NA,NA,NA,NA,NA,NA
Tanzania,Fish Larval Dispersal Corridors,vector,points,larval_country_q75,NA,241551.6188809028,NA,34,NA,21,NA,NA,14,8,NA,NA,NA,13,7,1,NA,177,NA,2.824858757062147,61.76470588235294,41.17647058823529,23.52941176470588,38.23529411764706,20.588235294117645,2.941176470588235
