sovereign_state,indicator,data_type,measure_type,filter_mode,filter_expr_applied,eez_area_km2,indicator_area_km2,indicator_point_count,protected_indicator_area_km2,protected_indicator_point_count,mpa_indicator_area_km2,oecm_indicator_area_km2,mpa_indicator_point_count,oecm_indicator_point_count,mpa_only_indicator_area_km2,oecm_only_indicator_area_km2,overlap_indicator_area_km2,mpa_only_indicator_point_count,oecm_only_indicator_point_count,overlap_indicator_point_count,indicator_total_in_all_eezs_km2,indicator_total_points_in_all_eezs,percent_eez_covered_by_indicator,percent_of_indicator_in_all_eezs,percent_indicator_protected_total,percent_indicator_protected_mpa,percent_indicator_protected_oecm,percent_indicator_protected_mpa_only,percent_indicator_protected_oecm_only,percent_indicator_protected_overlap
Comoro Islands,IBAs,vector,area,none,NA,164653.96314140054,0,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA,NA,16630.104224708146,NA,0,0,NA,NA,NA,NA,NA,NA
France,IBAs,vector,area,none,NA,1000794.8274630557,1.7333944775720511,NA,0.004582182981237802,NA,0.004582182981237802,0,NA,NA,0.004582182981237802,0,0,NA,NA,NA,16630.104224708146,NA,1.7320178222404324e-4,0,0.2643473854639263,0.2643473854639263,0,0.2643473854639263,0,0
Kenya,IBAs,vector,area,none,NA,111678.9158801631,970.1696759075413,NA,421.56816321084295,NA,399.25922552592084,22.30893768492211,NA,NA,399.25922552592084,22.30893768492211,0,NA,NA,NA,16630.104224708146,NA,0.8687133719569596,0,43.45303442065314,41.153546172470854,2.2994882481822887,41.153546172470854,2.2994882481822887,0
Madagascar,IBAs,vector,area,none,NA,1199947.515748097,7250.610211134377,NA,426.933998179756,NA,402.0563533097395,24.877644870016475,NA,NA,402.0563533097395,24.877644870016475,0,NA,NA,NA,16630.104224708146,NA,0.6042439453373963,0,5.888249205896299,5.5451381553006795,0.3431110505956202,5.5451381553006795,0.3431110505956202,0
Mauritius,IBAs,vector,area,none,NA,1272770.4275330903,442.3135370234582,NA,1.0481936864989836,NA,1.0481936864989836,0,NA,NA,1.0481936864989836,0,0,NA,NA,NA,16630.104224708146,NA,0.034752028131322894,0,0.2369797889417507,0.2369797889417507,0,0.2369797889417507,0,0
Mozambique,IBAs,vector,area,none,NA,571514.8887434019,5232.770471449711,NA,1887.3420862998692,NA,1887.3420862998692,0,NA,NA,1887.3420862998692,0,0,NA,NA,NA,16630.104224708146,NA,0.9155965267947928,0,36.06774072352902,36.06774072352902,0,36.06774072352902,0,0
Seychelles,IBAs,vector,area,none,NA,1331965.2695336612,1138.6015647112326,NA,762.5578044347168,NA,762.5578044347168,0,NA,NA,762.5578044347168,0,0,NA,NA,NA,16630.104224708146,NA,0.08548282682399612,0,66.97319133125498,66.97319133125498,0,66.97319133125498,0,0
Somalia,IBAs,vector,area,none,NA,779443.0223366382,251.5902340903357,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA,NA,16630.104224708146,NA,0.03227820724292467,0,0,0,0,0,0,0
South Africa,IBAs,vector,area,none,NA,1066572.2965040684,0,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA,NA,16630.104224708146,NA,0,0,NA,NA,NA,NA,NA,NA
Tanzania,IBAs,vector,area,none,NA,241551.6188809028,1342.3151359139165,NA,858.8137064078487,NA,660.9411313955115,197.8725750123372,NA,NA,660.9411313955115,197.8725750123372,0,NA,NA,NA,16630.104224708146,NA,0.5557052948486949,0,63.980035941643806,49.23889433352095,14.741141608122854,49.23889433352095,14.741141608122854,0
