sovereign_state,indicator,data_type,measure_type,filter_mode,filter_expr_applied,eez_area_km2,indicator_area_km2,indicator_point_count,protected_indicator_area_km2,protected_indicator_point_count,mpa_indicator_area_km2,oecm_indicator_area_km2,mpa_indicator_point_count,oecm_indicator_point_count,mpa_only_indicator_area_km2,oecm_only_indicator_area_km2,overlap_indicator_area_km2,mpa_only_indicator_point_count,oecm_only_indicator_point_count,overlap_indicator_point_count,indicator_total_in_all_eezs_km2,indicator_total_points_in_all_eezs,percent_eez_covered_by_indicator,percent_of_indicator_in_all_eezs,percent_indicator_protected_total,percent_indicator_protected_mpa,percent_indicator_protected_oecm,percent_indicator_protected_mpa_only,percent_indicator_protected_oecm_only,percent_indicator_protected_overlap
Comoro Islands,KBAs,vector,area,none,NA,164653.96314140054,5136.06513413062,NA,360.14217750537347,NA,360.14217750537347,0,NA,NA,360.14217750537347,0,0,NA,NA,NA,109746.81981458374,NA,3.119308540250502,4.67992160757638,7.012025122347569,7.012025122347569,0,7.012025122347569,0,0
France,KBAs,vector,area,none,NA,1000794.8274630557,63246.84372178611,NA,2063.1127445777115,NA,2063.1127445777115,0,NA,NA,2063.1127445777115,0,0,NA,NA,NA,109746.81981458374,NA,6.319661331794888,4.67992160757638,3.2620011105266404,3.2620011105266404,0,3.2620011105266404,0,0
Kenya,KBAs,vector,area,none,NA,111678.9158801631,970.6104746216728,NA,421.5681632108441,NA,399.259225525922,22.30893768492211,NA,NA,399.259225525922,22.30893768492211,0,NA,NA,NA,109746.81981458374,NA,0.8691080737774936,4.67992160757638,43.43330040561988,41.134856460471056,2.2984439451488248,41.134856460471056,2.2984439451488248,0
Madagascar,KBAs,vector,area,none,NA,1199947.515748097,30129.8361217427,NA,4931.473992085052,NA,4360.888364702451,702.4702284048365,NA,NA,4229.003763680215,570.5856273826005,131.88460102223598,NA,NA,NA,109746.81981458374,NA,2.5109294970254186,4.67992160757638,16.3674106030943,14.473654443661205,2.3314770965445457,14.035933506549755,1.893756159433097,0.4377209371114489
Mauritius,KBAs,vector,area,none,NA,1272770.4275330903,442.47248869843816,NA,1.0481936864989305,NA,1.0481936864989305,0,NA,NA,1.0481936864989305,0,0,NA,NA,NA,109746.81981458374,NA,0.034764516768043346,4.67992160757638,0.2368946574694985,0.2368946574694985,0,0.2368946574694985,0,0
Mozambique,KBAs,vector,area,none,NA,571514.8887434019,6475.1910055404605,NA,2604.110206863589,NA,2604.110206863589,0,NA,NA,2604.110206863589,0,0,NA,NA,NA,109746.81981458374,NA,1.1329872822346865,4.67992160757638,40.216731902354645,40.216731902354645,0,40.216731902354645,0,0
Seychelles,KBAs,vector,area,none,NA,1331965.2695336612,1729.5514769335782,NA,809.0451829739982,NA,809.0451829739982,0,NA,NA,809.0451829739982,0,0,NA,NA,NA,109746.81981458374,NA,0.1298495926653641,4.67992160757638,46.77774519948959,46.77774519948959,0,46.77774519948959,0,0
Somalia,KBAs,vector,area,none,NA,779443.0223366382,251.74221253641986,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA,NA,109746.81981458374,NA,0.03229770558234511,4.67992160757638,0,0,0,0,0,0
South Africa,KBAs,vector,area,none,NA,1066572.2965040684,3.700925932521029,NA,2.3647430193365833,NA,2.3647430193365833,0,NA,NA,2.3647430193365833,0,0,NA,NA,NA,109746.81981458374,NA,3.4699250530429576e-4,4.67992160757638,63.89598339585648,63.89598339585648,0,63.89598339585648,0,0
Tanzania,KBAs,vector,area,none,NA,241551.6188809028,1360.8062526612146,NA,860.0893296212662,NA,662.2167546089119,197.87257501235433,NA,NA,662.2167546089119,197.87257501235433,0,NA,NA,NA,109746.81981458374,NA,0.5633604357386489,4.67992160757638,63.20439283250365,48.663559071239575,14.540833761264071,48.663559071239575,14.540833761264071,0
