sovereign_state,indicator,measure_type,protection_category,percent_indicator
Comoro Islands,EBSAs,area,MPA only,0.25569116567744227
Comoro Islands,EBSAs,area,OECM only,0
Comoro Islands,EBSAs,area,MPA-OECM overlap,0
France,EBSAs,area,MPA only,0.49563846379911725
France,EBSAs,area,OECM only,0
France,EBSAs,area,MPA-OECM overlap,0
Kenya,EBSAs,area,MPA only,0.569094839828399
Kenya,EBSAs,area,OECM only,0.04952093876327971
Kenya,EBSAs,area,MPA-OECM overlap,7.891296678925209e-4
Madagascar,EBSAs,area,MPA only,1.0301825461726535
Madagascar,EBSAs,area,OECM only,0.1227997133010034
Madagascar,EBSAs,area,MPA-OECM overlap,0.020912677890150423
Mauritius,EBSAs,area,MPA only,0.03019568147305702
Mauritius,EBSAs,area,OECM only,0
Mauritius,EBSAs,area,MPA-OECM overlap,0
Mozambique,EBSAs,area,MPA only,1.6053863832978847
Mozambique,EBSAs,area,OECM only,0
Mozambique,EBSAs,area,MPA-OECM overlap,0
Seychelles,EBSAs,area,MPA only,28.382997674697247
Seychelles,EBSAs,area,OECM only,0
Seychelles,EBSAs,area,MPA-OECM overlap,0
Somalia,EBSAs,area,MPA only,0
Somalia,EBSAs,area,OECM only,0
Somalia,EBSAs,area,MPA-OECM overlap,0
South Africa,EBSAs,area,MPA only,11.757049118693073
South Africa,EBSAs,area,OECM only,0
South Africa,EBSAs,area,MPA-OECM overlap,0
Tanzania,EBSAs,area,MPA only,1.4247175362974236
Tanzania,EBSAs,area,OECM only,1.3036814274279074
Tanzania,EBSAs,area,MPA-OECM overlap,0.01970205453316479
WIO,EBSAs,area,MPA only,10.776581560140801
WIO,EBSAs,area,OECM only,0.10122101232240473
WIO,EBSAs,area,MPA-OECM overlap,0.004677569707189409
Comoro Islands,Fish Larval Dispersal Corridors,points,MPA only,20
Comoro Islands,Fish Larval Dispersal Corridors,points,OECM only,0
Comoro Islands,Fish Larval Dispersal Corridors,points,MPA-OECM overlap,0
France,Fish Larval Dispersal Corridors,points,MPA only,28.57142857142857
France,Fish Larval Dispersal Corridors,points,OECM only,0
France,Fish Larval Dispersal Corridors,points,MPA-OECM overlap,0
Kenya,Fish Larval Dispersal Corridors,points,MPA only,28.57142857142857
Kenya,Fish Larval Dispersal Corridors,points,OECM only,0
Kenya,Fish Larval Dispersal Corridors,points,MPA-OECM overlap,14.285714285714285
Madagascar,Fish Larval Dispersal Corridors,points,MPA only,22.448979591836736
Madagascar,Fish Larval Dispersal Corridors,points,OECM only,0
Madagascar,Fish Larval Dispersal Corridors,points,MPA-OECM overlap,0
Mauritius,Fish Larval Dispersal Corridors,points,MPA only,0
Mauritius,Fish Larval Dispersal Corridors,points,OECM only,0
Mauritius,Fish Larval Dispersal Corridors,points,MPA-OECM overlap,0
Mozambique,Fish Larval Dispersal Corridors,points,MPA only,17.857142857142858
Mozambique,Fish Larval Dispersal Corridors,points,OECM only,0
Mozambique,Fish Larval Dispersal Corridors,points,MPA-OECM overlap,0
Seychelles,Fish Larval Dispersal Corridors,points,MPA only,8
Seychelles,Fish Larval Dispersal Corridors,points,OECM only,0
Seychelles,Fish Larval Dispersal Corridors,points,MPA-OECM overlap,0
Somalia,Fish Larval Dispersal Corridors,points,MPA only,0
Somalia,Fish Larval Dispersal Corridors,points,OECM only,0
Somalia,Fish Larval Dispersal Corridors,points,MPA-OECM overlap,0
